"Installed","Installed"
"Update available","Update available"
"New version of my extensions","New version of my extensions"
"Updates of all extensions","Updates of all extensions"
"Releases of new extensions","Releases of new extensions"
"Discounts and special offers","Discounts and special offers"
"Other customer information","Other customer information"
"General","General"
"My Extensions","My Extensions"
"Updates and Notifications","Updates and Notifications"
"I'll be glad to get the following information from Magespot","I'll be glad to get the following information from Magespot"
"Magespot - Extensions Information","Magespot - Extensions Information"
"Output disabled","Output disabled"
