Electric Silver 766,23
Metallix Aztec Gold 400 ADD $ 2.61,32
Metallix Copper 300 ADD $ 2.61,35
Metallix Fuchsia M32 ADD $ 2.61,36
Sparkle White 00 ADD $ 1.76,45
Sparkle Pale Green 401 ADD $ 1.76,41
Sparkle Red 55 ADD $ 1.76,43
Green G,94
Kelly Green K,93
Light Creole Brown C,92
Monster Grey MG,91
Navy NB,90
Orange O,89
Purple P,88
Red R,87
Silver S,86
Soft Beige F,85
Teal T,84
White W,83
Wolfman Brown DBR,82
Yellow Y,81
Zombie Flesh Z,80
White 000,1
Black 111,2
Grass Green 477,3
Complexion Pink 500,11
Dark Orange 552,17
Light Grey 122,22
Electric Copper 755,43
Sparkle White 00,51
Amazon Green,3
Beach Berry,4
Black,2
Coral,5
Dark Blue,6
Dark Brown,7
Dark Green,8
Dark Pink,9
Lagoon Blue,14
Lime,19
Light Blue,15
Light Brown,16
Light Green,17
Light Pink,18
Mango,20
Orange,23
Purple,25
Red,26
Storm Cloud,28
Teal,29
Violet,30
White,1
Wild Orchid,31
Yellow,32
Black 111,2
Bright Green 444,6
Bright Pink 0058,7
Bright Red 0055,8
Bright Yellow 222,9
Dark Blue 333,12
Dark Green 455,15
Fuschia Pink 599,17
Grass Green 477,18
Lime Green 433,24
Pastel Blue 366,26
Pastel Green 400,27
Pastel Yellow 233,28
Royal Blue 344,30
Sea Blue 377,32
Sky Blue 355,33
Turquoise 488,34
White 000,1
Barely Beige 909,4
Dark Brown 999,13
Dark Gray 133,14
Dark Orange 552,16
Light Brown 988,20
Light Gray 122,21
Lilac 877,23
Orange 553,25
Purple 888,29
Electric Gold ADD $ 1.76,36
Electric Silver ADD $ 1.76,37
Sparkle Blue ADD $ 1.76,38
Sparkle Orange ADD $ 1.76,40
Sparkle Pink ADD $ 1.76,42
Sparkle Turquoise ADD $ 1.76,44
Sparkle Yellow ADD $ 1.76,46
Sparkle Green 44 ADD $ 1.76,39
White,1
Black,2
Light Blue,11
Royal Blue,21
Light Green,12
Green,10
Pink,16
Red,19
Yellow,24
Purple,18
Orange,15
Brown,6
Soft Grey,22
Powder Blue,17
Golden Orange,9
Teal,23
Lilac,13
Berry Wine,4
Dark Blue,7
Rose,20
Pearl Orange ADD $ 2.02,36
Pearl Rose ADD $ 2.02,39
Pearl Blue ADD $ 2.02,27
Pearl Green ADD $ 2.02,32
Pearl Silver ADD $ 2.02,40
Pearl Gold ADD $ 2.02,31
Pearl Purple ADD $ 2.02,37
Pearl Yellow ADD $ 2.02,45
Pearl White ADD $ 2.47,43
Pearl Sky Blue ADD $ 2.02,41
Pearl Black ADD $ 2.02,25
Pearl Copper ADD $ 2.02,30
Pearl Old Gold ADD $ 2.02,35
Pearl Bronze Green ADD $ 2.02,29
Pearl Red ADD $ 2.02,38
Pearl Lime ADD $ 2.02,34
Pearl Blush ADD $ 2.47,28
Pearl Lilac ADD $ 2.02,33
Pearl Teal ADD $ 2.47,42
Pearl Wine ADD $ 2.47,44
Blue BL,99
Gold GD,82
Green G,94
Orange O,88
Pink PK,92
Purple P,87
Red R,83
Silver S,81
Teal T,89
Black B,100
White W,93
Yellow Y,91
Tangerine,20
Sea Green,19
Royal Blue,18
Rose,17
Radioactive,16
Brilliant White,2
Ocean Spray,15
Midnight Blue,14
Jet Black,12
Grape Soda,11
Fuchsia Pink,10
Firetruck Red,9
Emerald Green,8
Deep Burgundy,7
Copper Penny,6
Chrome Silver,5
Canadian Blue,4
Bronze,3
Brilliant Gold,1
Turquoise LU-11,1
Starry Night LU-20,4
Silver LU-4,5
