"paid","attribute_type","pid","gaid","is_modifier","is_active","priority","track_inventory","name","caption","text_length","options","last_td_updated_date"
"134","select","4470","0","Yes","Yes","1","1","Brand & Size","Brand & Size","0","Diamond FX  - 1.13 oz/32 gm
TAG  - 1.13 oz/32 gm(+0.1,+0.01000)","2016-04-20 09:55:02"
"114","select","2897","0","Yes","Yes","1","1","Brush","Brush","0","Aqualon Brushes - Round #1, R2250-1(-4.13)
Aqualon Brushes - Round #5, R2250-5(-4.26)","2016-04-20 09:55:01"
"4","select","601","0","Yes","Yes","1","1","Color","Color","0","Ogre Green OG
Zombie Flesh Z
Yellow Y
Wolfman Brown DBR
White W
Teal T
Soft Beige F
Silver S
Red R
Purple P
Orange O
Navy NB
Monster Grey MG
Light Creole Brown C
Kelly Green K
Green G
Gold GD
Copper CP
Bronze BZ
Blue BL
Black B","2016-04-20 09:55:06"
"14","select","875","0","Yes","Yes","1","1","Design","Design","0","Dragonfly
Unicorn
Support Our Troups Ribbon
Stegosaurus
Spider Face Paint
Soccer Ball
Snake
Smiley Face
Skull
Shark
Shamrock
Scorpion
Puppy
Pumpkin
Peace Sign
Octopus
Lion
Lady Bug
Kitten
Heart
Hand
Gecko
Football
Flower -$.49
Fish
Fairy w Wand
Fairy Flying
Dolphin
Bunny
Black Cat
Bee
Basketball
Baseball
Alien
Butterfly -$.50","2016-04-20 09:55:06"
"16","select","2796","0","Yes","Yes","1","1","Face Paint Kit Accessory","Face Paint Kit Accessory","0","Poofable Glitter - Holographic Bubblegum Pink(-8,+0.01000)
White Face Paint(-9.75)
Red Face Paint(-9.75)
Bright Pink Face Paint(-9.75)
Pale Green Face Paint(-9.75)","2016-04-20 09:55:01"
"72","select","4283","0","Yes","Yes","1","1","Kit Accessory","Kit Accessory","0","White(-33.45)
Black(-33.45)
Dark Brown(-33.45)
Red(-33.45)
Blue(-33.45)
Purple(-33.45)
Metallic Gold(-33.14)
Metallic White(-32.54)
Neon Pink(-33.14)","2016-04-20 09:55:01"
"1","select","139","0","Yes","Yes","1","1","Size","Size","0","90 gm(+21.3,+0.30000)
45 gm(+10.65,+0.18000)
30 gm(+6.75,+0.10000)
5 gm refill","2016-04-20 09:55:03"
"441","select","2596","0","Yes","Yes","1","1","Skin Color","Skin Color","0","Olive: Deep PK-4(-4.85)
Fair: Light-Medium PK-1
Fair: Lightest PK-0
Brown: Dark PK-6","2016-04-20 09:55:03"
"315","select","3871","0","Yes","Yes","1","1","Stencil Kit Accessory","Stencil Kit Accessory","0","Snowflakes  - BAM1036(-10.14)
Scattered Stars  - BAM1039(-10.14)
Snowy  - BAM1038(-10.14)
Retro Starbursts  - BAM1040(-10.14)","2016-04-20 09:55:03"
"15","select","3742","0","Yes","Yes","1","1","Style","Style","0","Light  - HOTWING8013(-0.25)
Bubbles  - HOTWING8001(-0.25)
Butterfly  - HOTWING8010(-0.25)
Dots and Drips  - HOTWING8004(-0.25)
Fancy Swirls  - HOTWING8011(-0.25)
Fantasy  - HOTWING8006(-0.25)
Flames  - HOTWING8007(-0.25)
Leaves  - HOTWING8005(-0.25)
Leopard  - HOTWING8002(-0.25)
Reptile  - HOTWING8008(-0.25)
Spiders  - HOTWING8003(-0.25)
Starlight  - HOTWING8009(-0.25)
Steampunk Gears  - HOTWING8012(-0.25)","2016-04-20 09:55:03"
"485","select","55","0","Yes","Yes","1","1","Title","Title","0","Wolfman
Vampire
Fairy","2016-04-20 09:55:03"
"106","select","2323","0","Yes","Yes","1","1","Type","Type","0","Flat #4(+0.95,+0.01000)
Flat #10 10 mm(+2.55)
Flat #6 6 mm(+1.45,+0.01000)
Flat #8(+1.85)
Round Fine Point #1(-0.15,-0.01000)
Round #5(+1.55)
Flat #2 3 mm
Round #2(-0.05)","2016-04-20 09:55:01"
